I'm 19.	J'ai 19 ans.
I'm engaged.	Je suis fiancé.
I'm engaged.	Je suis fiancée.
I'm excited.	Je suis excité.
I'm excited.	Je suis excitée.
I'm falling.	Je tombe.
I'm fasting.	Je fais la diète.
I'm fasting.	Je suis à la diète.
I'm finicky.	Je suis méticuleux.
I'm finicky.	Je suis méticuleuse.
I'm frantic.	Je suis affolé.
I'm frantic.	Je suis affolée.
I'm furious.	Je suis furieux.
I'm healthy.	Je suis en bonne santé.
I'm humming.	Je fredonne.
I'm in luck.	Je suis veinard.
I'm in luck.	Je suis veinarde.
I'm jealous.	Je suis jalouse.
I'm jittery.	J'ai la frousse.
I'm kidding.	Je plaisante.
I'm kidding.	Je rigole !
I'm leaving.	Je pars.
I'm married.	Je suis marié.
I'm married.	Je suis mariée.
I'm nervous.	Je suis nerveux.
I'm nervous.	Je suis nerveuse.
I'm no fool.	Je ne suis pas une idiote.
I'm no hero.	Je ne suis pas un héros.
I'm no liar.	Je ne suis pas un menteur.
I'm not Tom.	Je ne suis pas Tom.
I'm not fat.	Je ne suis pas gros.
I'm not mad.	Je ne suis pas fou.
I'm not mad.	Je ne suis pas folle.
I'm not old.	Je ne suis pas vieux.
I'm not old.	Je ne suis pas vieille.
I'm not sad.	Je ne suis pas triste.
I'm not shy.	Je ne suis pas timide.
I'm on duty.	Je suis en service.
I'm patient.	Je suis patiente.
I'm patient.	Je suis patient.
I'm popular.	Je suis populaire.
I'm psyched.	Je suis remonté.
I'm psychic.	Je suis voyant.
I'm psychic.	Je suis voyante.
I'm puzzled.	Je suis perplexe.
I'm reading.	Je lis.
I'm relaxed.	Je suis détendu.
I'm relaxed.	Je suis détendue.
I'm retired.	Je suis retraité.
I'm retired.	Je suis retraitée.
I'm retired.	Je suis pensionné.
I'm retired.	Je suis pensionnée.
I'm selfish.	Je suis égoïste.
I'm serious.	Je suis sérieux.
I'm shocked.	Je suis choqué.
I'm shocked.	Je suis choquée.
I'm sincere.	Je suis sincère.
I'm sloshed.	Je suis bourré.
I'm sloshed.	Je suis bourrée.
I'm so cold.	J'ai tellement froid.
I'm so full.	Je suis tellement rassasié.
I'm so glad.	Je suis si heureux.
I'm starved.	Je meurs de faim !
I'm starved.	J'ai l'estomac dans les talons.
I'm starved.	J'ai la dalle.
I'm starved.	J'ai les crocs.
I'm staying.	Je reste.
I'm stuffed.	Je suis gavé.
I'm stuffed.	Je suis gavée.
I'm stunned.	Je suis sidéré.
I'm stunned.	Je suis sidérée.
I'm talking.	Je suis en train de discuter.
I'm teasing.	Je taquine.
I'm thirsty.	J'ai soif.
I'm through.	J'en ai fini.
I'm through.	J'en ai terminé.
I'm too fat.	Je suis trop gros.
I'm touched.	Je suis touché.
I'm touched.	Je suis touchée.
I'm trapped.	Je suis piégée.
I'm trapped.	Je suis piégé.
I'm unarmed.	Je suis désarmé.
I'm unhappy.	Je suis mécontent.
I'm unhappy.	Je suis mécontente.
I'm unlucky.	J'ai la schcoumoune.
I'm wealthy.	Je suis riche.
I'm wealthy.	Je suis fortuné.
I'm wealthy.	Je suis fortunée.
I'm winning.	Je gagne.
I'm winning.	Je l'emporte.
I'm working.	Je suis en train de travailler.
I'm worried.	Je me fais du souci.
She is curt.	Elle n'a pas de charme.
She is dead.	Elle est morte.
She is kind.	Elle est gentille.
She is late.	Elle est en retard.
She's a dog.	C'est une enfoirée.
She's a fox.	C'est un renard.
They're bad.	Ils sont mauvais.
They're bad.	Elles sont mauvaises.
They're old.	Ils sont vieux.
They're old.	Elles sont vieilles.
We are boys.	Nous sommes des garçons.
We are even.	Nous sommes quittes.
We are even.	Nous sommes à égalité.
We are here.	Nous sommes ici.
We are here.	Nous y sommes.
We are late.	Nous sommes en retard.
We're alone.	Nous sommes seuls.
We're alone.	Nous sommes seules.
We're angry.	Nous sommes en colère.
We're armed.	Nous sommes armés.
We're armed.	Nous sommes armées.
We're bored.	Nous nous ennuyons.
We're bored.	On s'emmerde.
We're broke.	Nous sommes fauchés.
We're broke.	Nous sommes fauchées.
We're broke.	On est fauchés.
We're dying.	Nous sommes en train de mourir.
We're early.	Nous sommes en avance.
We're going.	Nous y allons.
We're happy.	Nous sommes heureux.
We're ready.	Nous sommes prêtes.
We're saved.	Nous sommes sauvés.
We're saved.	Nous sommes sauvées.
We're smart.	Nous sommes intelligents.
We're smart.	Nous sommes intelligentes.
We're sorry.	Nous sommes désolés.
We're sorry.	Nous sommes désolées.
We're stuck.	Nous sommes coincés.
We're stuck.	Nous sommes coincées.
We're tired.	Nous sommes fatigués.
We're tired.	Nous sommes fatiguées.
We're twins.	Nous sommes jumeaux.
We're twins.	Nous sommes jumelles.
You are big.	Tu es grand.
You are big.	Tu es grande.
You are big.	Vous êtes grand.
You are big.	Vous êtes grande.
You are big.	Vous êtes grands.
You are big.	Vous êtes grandes.
You are mad.	Tu es fou.
You're back.	Tu es de retour.
You're back.	Vous êtes de retour.
You're cool.	T'es sympa.
You're cool.	T'es décontracté.
You're fair.	Tu es juste.
You're fair.	Vous êtes juste.
You're fair.	Vous êtes justes.
You're fine.	Tu vas bien.
You're free.	Tu es libre.
You're free.	Vous êtes libres.
You're free.	Vous êtes libre.
You're good.	Vous êtes bon.
You're good.	Vous êtes bonne.
You're good.	Vous êtes bons.
You're good.	Vous êtes bonnes.
You're good.	Tu es bon.
You're good.	Tu es bonne.
You're good.	T'es bon.
You're good.	T'es bonne.
You're kind.	Tu es gentil.
You're kind.	Tu es gentille.
You're late.	Tu es en retard.
You're late.	Vous êtes en retard.
You're lazy.	Tu es paresseux.
You're lazy.	Tu es paresseuse.
You're lazy.	Vous êtes paresseux.
You're lazy.	Vous êtes paresseuses.
You're lazy.	Vous êtes paresseuse.
You're lost.	Tu es perdu.
You're lost.	Tu es perdue.
You're nice.	T'es sympa.
You're nice.	Vous êtes sympa.
You're nice.	Vous êtes sympas.
You're nuts!	Tu es fou !
You're nuts!	T'es dingue !
You're nuts!	Vous êtes dingue !
You're nuts!	Vous êtes dingues !
You're nuts!	T'es givré !
You're nuts!	T'es givrée !
You're nuts!	Vous êtes givré !
You're nuts!	Vous êtes givrée !
You're nuts!	Vous êtes givrés !
You're nuts!	Vous êtes givrées !
You're rich.	Tu es riche.
You're rich.	Vous êtes riche.
You're rich.	Vous êtes riches.
You're rude.	Tu es grossier.
You're rude.	Vous êtes grossiers.
You're rude.	Vous êtes grossière.
You're rude.	Vous êtes grossières.
You're rude.	Tu es grossière.
You're safe.	Tu es en sécurité.
You're safe.	Vous êtes en sécurité.
You're safe.	Tu es sauf.
You're safe.	Vous êtes saufs.
You're safe.	Vous êtes sauf.
You're safe.	Vous êtes sauve.
You're safe.	Vous êtes sauves.
You're safe.	Tu es sauve.
You're sick!	Vous êtes malade !
You're sick!	Tu es malade!
You're sick!	Vous êtes malade!
You're thin.	Tu es mince.
You're thin.	Vous êtes mince.
You're thin.	Vous êtes minces.
You're weak.	Tu es faible.
You're weak.	Vous êtes faible.
You're weak.	Vous êtes faibles.
You're wise.	Vous êtes raisonnables.
He is a poet.	C'est un poète.
He is a poet.	Il est poète.
He is asleep.	Il est endormi.
He is cranky.	Il est excentrique.
He is eating.	Il est en train de manger.
He is heroic.	Il est héroïque.
He is not in.	Il n'est pas chez lui.
He is not in.	Il n'est pas à l'intérieur.
He's a bigot.	C'est un bigot.
He's a bigot.	C'est un sectaire.
He's a bigot.	C'est un fanatique.
He's a bigot.	C'est un illuminé.
He's in pain.	Il souffre.
He's married.	Il est marié.
He's my hero.	C'est mon héros.
He's out now.	Il est actuellement à l'extérieur.
He's so cute.	Il est si mignon !
He's so cute.	Il est tellement mignon !
I am ashamed.	J'ai honte.
I am at home.	Je suis à la maison.
I am curious.	Je suis curieux.
I am married.	Je suis mariée.
I am so sick.	Je suis tellement malade.
I am so sick.	Je suis si malade.
I am so sick.	C'est moi qui suis tellement malade.
I am so sick.	C'est moi qui suis si malade.
I am thirsty.	J'ai soif.
I am working.	Je suis en train de travailler.
I'm 99% sure.	J'en suis sûr à 99%.
I'm 99% sure.	J'en suis sûre à 99%.
I'm Canadian.	Je suis Canadienne.
I'm Canadian.	Je suis Canadien.
I'm a coward.	Je suis un couard.
I'm a coward.	Je suis un lâche.
I'm a dancer.	Je suis danseur.
I'm a dancer.	Je suis danseuse.
I'm a doctor.	Je suis médecin.
I'm a doctor.	Je suis toubib.
I'm a farmer.	Je suis fermier.
I'm a farmer.	Je suis agriculteur.
I'm a farmer.	Je travaille dans ma ferme.
I'm a farmer.	Je suis un agriculteur.
I'm a father.	Je suis papa.
I'm a genius.	Je suis un génie.
I'm a lawyer.	Je suis avocat.
I'm a lawyer.	Je suis avocate.
I'm a member.	Je suis membre.
I'm a priest.	Je suis prêtre.
I'm a purist.	Je suis un puriste.
I'm a singer.	Je suis chanteur.
I'm a singer.	Je suis chanteuse.
I'm a surfer.	Je suis surfeur.
I'm a surfer.	Je suis surfeuse.
I'm addicted.	Je suis drogué.
I'm addicted.	Je suis accro.
I'm addicted.	J'ai une assuétude.
I'm all done.	J'ai tout fini.
I'm all done.	J'ai tout terminé.
I'm all ears.	Je suis tout ouïe.
I'm an adult.	Je suis adulte.
I'm an agent.	Je suis un agent.
I'm bleeding.	Je suis en train de saigner.
I'm confused.	Je me mélange les pinceaux.
I'm creative.	Je suis créatif.
I'm creative.	Je suis créative.
I'm cultured.	Je suis cultivé.
I'm cultured.	Je suis cultivée.
I'm divorced.	Je suis divorcé.
I'm divorced.	Je suis divorcée.
I'm drowning.	Je suis en train de me noyer.
I'm eighteen.	J'ai dix-huit ans.
I'm faithful.	Je suis fidèle.
I'm famished.	Je suis affamé !
I'm fearless.	Je suis intrépide.
I'm fighting.	Je me bats.
I'm finished.	J'ai terminé.
I'm finished.	J'en ai terminé.
I'm free now.	Je suis libre maintenant.
I'm freezing.	Je suis gelé.
I'm grounded.	Je suis cloué.
I'm grounded.	Je suis clouée.
I'm gullible.	Je suis crédule.
I'm homesick.	J'ai le mal du pays.
I'm hungover.	J'ai la gueule de bois.
I'm in Paris.	Je suis à Paris.
I'm innocent.	Je suis innocent.
I'm innocent.	Je suis innocente.
I'm innocent.	Je suis ingénu.
I'm innocent.	Je suis ingénue.
I'm involved.	Je suis impliqué.
I'm involved.	Je suis impliquée.
I'm managing.	Je m'en sors.
I'm new here.	Je suis nouveau, ici.
I'm no rebel.	Je ne suis pas un rebelle.
I'm no saint.	Je ne suis pas un saint.
I'm no saint.	Je ne suis pas une sainte.
I'm not busy.	Je ne suis pas occupé.
I'm not deaf.	Je ne suis pas sourd.
I'm not deaf.	Je ne suis pas sourde.
I'm not done.	Je n'ai pas fini.
I'm not done.	Je n'ai pas terminé.
I'm not done.	Je n'en ai pas terminé.
I'm not dumb.	Je ne suis pas abruti.
I'm not dumb.	Je ne suis pas abrutie.
I'm not evil.	Je ne suis pas mauvais.
I'm not here.	Je ne suis pas ici.
I'm not here.	Je ne suis pas là.
I'm not home.	Je ne suis pas chez moi.
I'm not home.	Je ne suis pas à la maison.
I'm not hurt.	Je ne suis pas blessé.
I'm not hurt.	Je ne suis pas blessée.
I'm not mean.	Je ne suis pas méchant.
I'm not mean.	Je ne suis pas méchante.
I'm not rich.	Je ne suis pas riche.
I'm not sure.	Je n'en suis pas certain.
I'm not sure.	Je n'en suis pas certaine.
I'm not tall.	Je ne suis pas grand.
I'm not tall.	Je ne suis pas grande.
I'm not ugly.	Je ne suis pas laid.
I'm not ugly.	Je ne suis pas laide.
I'm not well.	Je ne vais pas bien.
I'm off-duty.	Je ne suis pas en service.
I'm offended.	Je suis offensé.
I'm offended.	Je suis offensée.
I'm outraged.	Je suis indigné.
I'm outraged.	Je suis indignée.
I'm powerful.	Je suis puissant.
I'm powerful.	Je suis puissante.
I'm pregnant.	Je suis enceinte.
I'm prepared.	Je suis prêt.
I'm prepared.	Je suis préparée.
I'm prepared.	Je suis préparé.
I'm punctual.	Je suis ponctuel.
I'm punctual.	Je suis ponctuelle.
I'm rational.	Je suis rationnel.
I'm rational.	Je suis rationnelle.
I'm reformed.	Je me suis amendé.
I'm reformed.	Je me suis amendée.
I'm reliable.	Je suis fiable.
I'm restless.	Je ne tiens pas en place.
I'm ruthless.	Je suis impitoyable.
I'm shooting.	Je tire.
I'm shopping.	Je fais les courses.
I'm sleeping.	Je suis en train de dormir.
I'm so happy.	Je suis si heureux.
I'm so sorry.	Je suis tellement désolé !
I'm so sorry.	Je suis tellement désolée !
I'm so tired!	Je suis si fatigué !
I'm so tired!	Je suis tellement las !
I'm speaking.	Je suis en train de parler.
I'm starving!	Je meurs de faim !
I'm starving.	Je crève de faim !
I'm starving.	J'ai la fringale.
I'm stubborn.	Je suis têtu.
I'm stubborn.	Je suis têtue.
I'm stubborn.	Je suis obstiné.
I'm stubborn.	Je suis obstinée.
I'm the best.	Je suis le meilleur.
I'm the best.	Je suis la meilleure.
I'm the boss.	C'est moi le patron.
I'm the boss.	C'est moi la patronne.
I'm the boss.	Je suis le patron.
I'm the boss.	Je suis la patronne.
I'm thinking.	Je réfléchis.
I'm thorough.	Je suis minutieux.
I'm thorough.	Je suis minutieuse.
I'm thorough.	Je suis consciencieux.
I'm thorough.	Je suis consciencieuse.
I'm thrilled.	Je suis ravi.
I'm thrilled.	Je suis ravie.
I'm ticklish.	Je suis chatouilleux.
I'm ticklish.	Je suis chatouilleuse.
I'm too busy.	Je suis trop occupé.
I'm too busy.	Je suis trop occupée.
I'm too busy.	Je suis trop affairé.
I'm too busy.	Je suis trop affairée.
I'm truthful.	Je dis la vérité.
I'm unbiased.	Je suis impartial.
I'm unbiased.	Je suis impartiale.
I'm upstairs.	Je suis au-dessus.
I'm very fat.	Je suis très gros.
I'm very fat.	Je suis très gras.
I'm very sad.	Je suis très triste.
I'm very shy.	Je suis très timide.
I'm worn out.	Je suis épuisé.
She is a fox.	C'est un renard.
She is lucky.	Elle est chanceuse.
She is lucky.	Elle est chançarde.
She is quiet.	Elle est tranquille.
She is sharp.	Elle est tranchante.
She is sharp.	Elle est affûtée.
She is wrong.	Elle a tort.
She is young.	Elle est jeune.
She shot him.	Elle lui tira dessus.
She shot him.	Elle le descendit.
She shrieked.	Elle a crié.
She shrieked.	Elle cria.
She stood up.	Elle se leva.
She sued him.	Elle l'a poursuivi en justice.
She sued him.	Elle le poursuivit en justice.
She sued him.	Elle lui a fait un procès.
She sued him.	Elle lui fit un procès.
They're back.	Ils sont de retour.
They're back.	Elles sont de retour.
They're boys.	Ce sont des garçons.
They're cold.	Ils sont froids.
They're cold.	Elles sont froides.
They're cool.	Ils sont sympa.
They're cool.	Elles sont sympa.
They're cops.	Ce sont des flics.
They're cute.	Ils sont mignons.
They're cute.	Elles sont mignonnes.
They're dead.	Ils sont décédés.
They're dead.	Elles sont décédées.
They're done.	Ils ont terminé.
They're done.	Elles ont terminé.
They're free.	Ils sont libres.
They're free.	Elles sont libres.
They're gone.	Ils sont partis.
They're gone.	Elles sont parties.
They're gone.	Il n'y en a plus.
They're here.	Ils sont là.
They're mine.	Ils sont à moi.
They're mine.	Ils sont miens.
They're mine.	Ce sont les miens.
They're mine.	Ce sont les miennes.
They're mine.	Elles sont miennes.
They're mine.	Elles sont à moi.
They're rich.	Ils sont riches.
They're rich.	Elles sont riches.
They're safe.	Ils vont bien.
They're safe.	Ils sont en sécurité.
They're safe.	Elles sont en sécurité.
They're weak.	Ils sont faibles.
They're weak.	Elles sont faibles.
We are Arabs.	Nous sommes arabes.
We are happy.	Nous sommes heureux.
We're a team.	Nous sommes une équipe.
We're adults.	Nous sommes des adultes.
We're all OK.	Nous allons tous bien.
We're at war.	Nous sommes en guerre.
We're biased.	Notre point de vue est biaisé.
We're biased.	Nous avons des préjugés.
We're buying.	Nous achetons.
We're closed.	Nous sommes fermés.
We're coming.	Nous venons.
We're dating.	Nous sortons ensemble.
We're doomed.	Nous sommes condamnés.
We're hiding.	Nous nous cachons.
We're inside.	Nous sommes à l'intérieur.
We're joking.	Nous plaisantons.
We're losing.	Nous perdons.
We're losing.	Nous sommes en train de perdre.
We're moving.	Nous sommes en train de bouger.
We're normal.	Nous sommes normaux.
We're normal.	Nous sommes normales.
We're paying.	Nous sommes en train de payer.
We're pooped.	Nous sommes crevés.
We're pooped.	Nous sommes crevées.
We're ruined.	Nous sommes ruinés.
We're ruined.	Nous sommes ruinées.
We're shaken.	Nous sommes remués.
We're shaken.	Nous sommes remuées.
We're sneaky.	Nous sommes sournois.
We're sneaky.	Nous sommes sournoises.
We're strong.	Nous sommes forts.
We're strong.	Nous sommes fortes.
We're trying.	Nous essayons.
You are good.	Vous êtes bon.
You are good.	Vous êtes bonne.
You are good.	Vous êtes bons.
You are good.	Vous êtes bonnes.
You are good.	Tu es bon.
You are good.	Tu es bonne.
You are late.	Tu es en retard.
You are late.	Vous êtes en retard.
You are rich.	Vous êtes riches.
You're bossy.	Tu joues au chef.
You're bossy.	Tu fais le chef.
You're crazy.	Tu es fou.
You're crazy.	Tu es cinglé.
You're cruel.	Tu es cruelle.
You're cruel.	Tu es cruel.
You're cruel.	Vous êtes cruelle.
You're cruel.	Vous êtes cruelles.
You're cruel.	Vous êtes cruel.
You're cruel.	Vous êtes cruels.
You're dirty.	Tu es sale.
